SL NO,Parameters,Fuze,,Vendor2,,Vendor3,,Vendor4,,,,,,,,,,,,,,,,,
,,Yes / No,Comments,Yes / No,Comments,Yes / No,Comments,Yes / No,Comments,,,,,,,,,,,,,,,,
A,Architecture & Design,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Do the application or platform support atleast 85% of requirements as out-of-box solutions? ,Yes,"Yes, the application/platform supports more than 95% of the requirements as out-of-box solutions, ensuring rapid deployment and minimal customization. This high level of out-of-box functionality helps streamline the implementation process and reduces the need for extensive adjustments.",,,,,,,,,,,,,,,,,,,,,,
2.0,Are the core functions are modular by Design?,Yes,"Fuze’s modular service architecture is designed for seamless integration with external systems. All core functions are accessible via APIs,SDKs - many of which are external-facing. As a result, the ability to integrate with an external system depends on the specific system in question and the scale of integration required by the merchant.",,,,,,,,,,,,,,,,,,,,,,
3.0,s,Yes,"Fuze Finance offers two integration options to meet diverse business needs: a hosted solution and a comprehensive API/SDK suite. The hosted solution is a ready-to-deploy platform that ensures security, scalability, and seamless operation with minimal development effort required. For businesses seeking more customization, the API/SDK suite provides extensive functionality and robust developer support, including detailed documentation and sandbox environments for smooth integration. Both options offer exceptional flexibility and ease of use.  For the user interface, Fuze collaborates closely with the bank's design team to ensure the UI is fully aligned with the bank’s branding while adhering to industry best practices. The design is optimized for the highest conversion rates, providing an intuitive and device-enabled experience suitable for both new and advanced users. Key features like simplified navigation, responsive design, and accessible layouts ensure a user-friendly interface across all customer segments. Usability testing is conducted regularly to ensure the interface consistently meets user expectations and delivers an optimal experience.",,,,,,,,,,,,,,,,,,,,,,
4.0,Do the solution demonstrate data quality checks at each layer of the design?,Yes,"Fuze implements multiple layers of data quality checks throughout the design. Each request undergoes filtering through Cloudflare request filtering, AWS ALB filtering, and application-level data type validation before being processed by internal services. These checks ensure data integrity and quality at every stage of the process.",,,,,,,,,,,,,,,,,,,,,,
5.0,"Assess the Cross Platform Integration with Mashreq Landscape core application if the requirement needs Mashreq Application interaction. (Eg:- API Connect, Data Lake, Etc.)",Yes,"Fuze is designed with flexibility, scalability, and security at its core. The API infrastructure follows a 'plug & play' approach, enabling seamless integration with external systems, including Mashreq's core applications. BrokerX utilizes a modular architecture, allowing banks to customize their strategy for deploying different products. It supports integration through REST APIs, WebSockets, and white-labeled web apps, ensuring rapid implementation and smooth interaction with Mashreq’s landscape. Furthermore, Fuze is built on an event-based architecture, allowing for the easy creation of new microservices that can consume events and provide additional features as required, ensuring long-term adaptability and efficient data flow.",,,,,,,,,,,,,,,,,,,,,,
6.0,Do the Application or Platform demonstrate security design with Zero Trust Principles?,Yes,"Yes, Fuze platform is built using Zero Trust principles, leveraging TailScale and a mesh-based VPN on Wireguard to enforce strict security measures.  Zero Trust Architecture: Every request, regardless of origin or endpoint, is subject to strict verification. Users and devices must be authenticated, authorized, and continuously validated before access to any resources is granted.  Encryption: All API communications are secured using TLS 1.3 and AES-256 encryption, ensuring both data confidentiality and integrity.  Authentication: Supports secure user and system authentication using API keys and JWT tokens.  Access Controls: Implements Role-Based Access Control (RBAC) and Attribute-Based Access Control (ABAC) to restrict API access based on user roles, permissions, and attributes.  Rate Limiting and Throttling: Protects APIs from abuse or denial-of-service (DoS) attacks by limiting request rates.  Audit Logging: Tracks all API interactions for compliance, monitoring, and forensic analysis.  IP Whitelisting: Restricts API access to pre-approved IP addresses, ensuring only trusted sources can interact with the system.  Continuous Monitoring and Threat Detection: Real-time monitoring of API traffic using AI-driven tools to detect anomalies and prevent unauthorized activities.  By integrating these advanced security measures with a Zero Trust policy, Fuze ensures that its platform APIs provide the highest level of security, trust, and compliance for all integrations and data exchanges.",,,,,,,,,,,,,,,,,,,,,,
7.0,Does the solution provide SaaS offering?,Yes,"Yes, Fuze offers a comprehensive SaaS solution.",,,,,,,,,,,,,,,,,,,,,,
8.0,"If yes, where the SaaS solution is deployed?(with-in GCC or outside GCC region. Specify location)",Yes,"Yes, the SaaS solution is deployed on AWS Middle East (ME) Central, located in the UAE. ",,,,,,,,,,,,,,,,,,,,,,
9.0,"Is the solution/platform or application demonstrate Cloud Native design? Also, giving a Flexibility in hosting the solution (On-Premise, Hybrid, Cloud)",Yes,"In both SaaS and self-hosted deployment models, Fuze ensures that Mashreq’s data is stored securely and in full compliance with regulatory requirements. Below is a detailed breakdown of where Mashreq’s data will be stored, the physical location of the repositories, and the retention periods for personal information (PI) and other data types:  1. Data Storage Locations Mashreq’s data will be stored in the following repositories, depending on the deployment model:  a. SaaS Deployment In the SaaS model, Fuze hosts and manages the platform on AWS UAE (me-central-1 region), ensuring that all data remains within the UAE. The specific storage locations include:  Databases: The primary database utilizes Amazon RDS (Relational Database Service) to store transactional data, customer information, and compliance logs.  Object Storage: Amazon S3 is used for storing large files, such as KYC documents, audit logs, and backup data.  Backup Storage: Backup data is stored in Amazon S3, with geographically redundant copies within the UAE to ensure data durability and availability.  b. Self-Hosted Deployment In the self-hosted model, Mashreq hosts the platform within its own AWS UAE tenant, maintaining full control over data storage. The specific storage locations include:  Databases: Mashreq may use its own Amazon RDS Database instances to store transactional data, customer information, and compliance logs.  Object Storage: Mashreq can use its own Amazon S3 Storage instances for storing large files, such as KYC documents and audit logs.  Backup Storage: Mashreq can configure its own backup storage within Amazon S3 Storage, ensuring that backup data remains within the UAE.  2. Physical Location of Repositories All data repositories are physically located within the UAE, ensuring compliance with UAE data localization requirements. Specifically:  AWS UAE (me-central-1 region): All data stored in AWS UAE is hosted in data centers within the UAE.  3. Data Retention Periods Fuze adheres to regulatory requirements and industry best practices for data retention. The retention periods for different types of data are as follows:  Personal Information (PI) Retention Period: Personal information is retained for as long as necessary to fulfill the purposes for which it was collected, or as required by law. For example, KYC data is retained for 8 years after the customer relationship ends, in compliance with AML/CFT regulations. Transaction records are retained for 8 years, in compliance with VARA and SCA regulations.  Transaction Data Retention Period: Transaction data, including trade execution details, is retained for 8 years, in compliance with regulatory requirements.  Compliance Data Retention Period: Compliance data, including KYC/AML records, audit logs, and suspicious activity reports (SARs), is retained for 8 years, in compliance with regulatory requirements.  Backup Data Retention Period: Backup data is retained for 8 years, ensuring that data can be restored in the event of a failure or data loss.  Archival Data Retention Period: Archival data is retained based on custom policies defined by Mashreq, ensuring compliance with regulatory requirements and business needs.  4. Data Deletion and Purge Fuze ensures that data is securely deleted when it is no longer needed. Key features include:  Secure Deletion: Data is securely deleted using industry-standard data sanitization methods, ensuring that it cannot be recovered once purged.  Compliance with Regulatory Requirements: Fuze’s data deletion processes comply with GDPR’s right to erasure and UAE PDPL, ensuring that data is deleted in a timely and compliant manner.  Audit Logging: All data deletion activities are logged, providing a comprehensive audit trail for compliance and troubleshooting purposes.  This version retains the technical details while presenting them in a polished and sophisticated manner. Let me know if you need further adjustments!",,,,,,,,,,,,,,,,,,,,,,
10.0,Do Application or Platform support both Linux and Windows operating system to deploy ,Yes.,"Fuze supports deployment exclusively on the Linux operating system. Windows is not supported for deployment. However, the back-office software and the application are web-based and fully supported across all platforms.",,,,,,,,,,,,,,,,,,,,,,
11.0,Is the Backup & Storage design supports flexibility of using Cloud or Simple storage options?,Yes,"Yes, Fuze’s platform supports flexible backup and storage options, offering both cloud-based and simple storage solutions to meet diverse customer needs. Below are the key details about Fuze’s data management capabilities, designed to ensure data integrity, regulatory compliance, and efficient storage resource management:  1. Automated Backup Fuze’s platform includes automated backup processes to ensure data is regularly backed up and can be restored in the event of failure or data loss. Key features include:  Frequent Backups: Fuze performs daily backups of critical data, including customer information, transaction records, and compliance logs. Incremental backups are performed to minimize storage usage and enhance efficiency.  Point-in-Time Recovery (PITR): Fuze supports PITR, allowing the bank to restore data to a specific point in time, minimizing data loss during an incident.  Geographically Redundant Storage: Backups are stored in geographically redundant locations to ensure data availability during regional outages or disasters.  Encryption: All backup data is encrypted with AES-256 encryption, ensuring protection against unauthorized access.  2. Data Archival Fuze’s platform provides automated archival processes to manage the storage of historical data. Key features include:  Archival Policies: Fuze allows the bank to define custom archival policies based on regulatory requirements and business needs.  Compliance with Regulatory Requirements: Archival processes are designed to comply with regulations like GDPR, UAE PDPL, and AML/CFT, ensuring data is retained for the required periods.  Efficient Storage Management: Archived data is stored in cost-effective storage solutions, such as cold storage, minimizing costs while maintaining data availability.  Search and Retrieval: Archived data can be easily searched and retrieved using Fuze’s dashboard (FuzeOS) or APIs, allowing the bank to access historical data when needed.  3. Data Purge Fuze’s platform supports automated data purge processes, ensuring that data is securely deleted when no longer needed. Key features include:  Purge Policies: Fuze allows the bank to define custom purge policies based on regulatory and business needs.  Secure Deletion: Data is deleted using industry-standard data sanitization methods, ensuring it cannot be recovered once purged.  Compliance with Regulatory Requirements: Purge processes are designed to comply with regulatory requirements, including GDPR’s right to erasure and UAE PDPL, ensuring timely and compliant data deletion.  Audit Logging: All data purge activities are logged, providing a comprehensive audit trail for compliance and troubleshooting.  4. Data Management Dashboard (FuzeOS) Fuze’s proprietary dashboard (FuzeOS) offers a centralized interface for managing backup, archival, and purge processes. Key features include:  Policy Management: The bank can define and manage backup, archival, and purge policies via FuzeOS, ensuring alignment with regulatory and business requirements.  Monitoring and Reporting: FuzeOS provides real-time monitoring and reporting of data management activities, offering full visibility into backup, archival, and purge processes.  Compliance Reporting: FuzeOS generates compliance reports to demonstrate adherence to regulatory requirements during audits.  This flexible approach to storage and backup ensures that Fuze’s platform can adapt to the varying needs of customers while maintaining high standards of data security, compliance, and operational efficiency.",,,,,,,,,,,,,,,,,,,,,,
12.0,What is the Tech Stack used in the solution?,Yes,"Fuze’s system architecture is designed to be flexible, scalable, and secure, leveraging cloud infrastructure from leading providers to ensure high availability, reliability, and rapid scaling.  Cloud Providers and Locations: Fuze operates primarily on AWS cloud infrastructure, with its services hosted in the AWS me-central-1 region, ensuring full compliance with UAE data protection laws. The architecture incorporates geographic redundancy and high availability across multiple availability zones (AZs), guaranteeing seamless operations even in the face of disruptions.  Service Providers: Fuze integrates with key service providers to enhance security and compliance across the digital asset lifecycle. These include Fireblocks for custody services, Chainalysis for compliance, and Notabene for Travel Rule compliance. The platform supports a flexible, plug-and-play architecture, allowing for integration with multiple custody providers, Travel Rule providers, and KYT/AML providers.  Tech Stack: Fuze's platform is built on a microservices-based architecture, enabling modularity and flexibility. The system utilizes an event-driven Pub/Sub mechanism to facilitate both horizontal and vertical scaling. The core components of the tech stack include:  SOR and OEMS: Fuze uses a proprietary Order Execution Management System (OEMS) and Smart Order Routing (SOR) system. The SOR ensures trades are routed to the best venue based on parameters such as slippage, price, and volume, while the OEMS manages the entire order lifecycle. Fuze is an unbiased liqudity as an agnostic technolgoy platform with a smart order router that uses machine intellignece to acquire crypto at the best executed price for its customers.  APIs: REST APIs and WebSockets are employed for real-time communication and trading, ensuring seamless interaction between systems and external platforms.  Databases: High-performance databases like PostgreSQL are used for transactional data, while DynamoDB supports high-availability document storage. Additionally, timeseries databases such as InfluxDB are utilized for storing time-sensitive data.  Security: Fuze implements robust security features, including end-to-end encryption, multi-factor authentication (MFA), and security monitoring tools like SIEM, IDS, and IPS, integrated across the platform to ensure the highest level of security.  Disaster Recovery: Fuze maintains a comprehensive disaster recovery strategy, including automatic failover and backup mechanisms. Data is stored across multiple Availability Zones to prevent loss, and the disaster recovery plan is tested quarterly to ensure preparedness. A Business Continuity Planning (BCP) cluster is also in place, ensuring continuity in the event of AWS unavailability in the UAE.  Bankruptcy: Fuze is fully bankruptcy remote - In the case of a liquidation process involving Fuze’s clients assets, Fuze alongside the Financial Institution (FI) can provide claim capabilities to their end clients without undergoing any court proceedings.  Effectively, through Fuze’s request, Custodian would transfer the respective assets into Fuze’s liquidation engine that sells and transfers AED into a Mashreq's designated account, where customers can be settled.   Utilization of Smart Contracts: Custody and Asset Management: Smart contracts are employed to manage digital asset custody, ensuring assets are locked, transferred, or released only when predefined conditions are met. This enhances both security and compliance with regulatory policies.  Tokenized Assets: Fuze facilitates the integration of tokenized real-world assets, such as real estate or commodities, through smart contracts, allowing for transparent and secure asset transfers on the blockchain.  This robust architecture, along with the strategic use of smart contracts, enables Fuze to deliver secure, scalable, and compliant services, maintaining a high standard of security and operational efficiency.  Custody Providers: Fuze has a multi vendor approach to Custody, including Hex Trust (regulated by VARA), Tungsten (recently acquired by Zodia Custody) and Fireblocks",,,,,,,,,,,,,,,,,,,,,,
13.0,"Does the solution aligns with Local central bank ring fencing policies? (UAE, Egypt mainly)",Yes,Fuze's solutions follow all the applicable ring fencing policies as set out by the Central Bank,,,,,,,,,,,,,,,,,,,,,,
14.0,Do the application or platform demonstrate clear Business Continuity design?,Yes,"Yes, Fuze's platform demonstrates a clear and robust Business Continuity (BC) design. The system is built to ensure uninterrupted service availability and operational resilience, even in the event of disruptions or disasters. Key components of the Business Continuity design include:  1. Disaster Recovery and Failover Mechanisms Automatic Failover: Fuze’s infrastructure is designed with automatic failover capabilities to ensure that operations continue smoothly in case of a failure in any single system or availability zone.  Geographically Redundant Storage: Data is stored in multiple Availability Zones (AZs) within AWS, offering geographic redundancy. This ensures that if one region experiences an outage, the data remains accessible from other locations.  Quarterly Testing: Fuze conducts quarterly disaster recovery drills to test the effectiveness of its failover and recovery procedures, ensuring readiness in case of critical incidents.  2. Data Backups and Availability Automated Backups: The platform performs daily incremental backups of critical data, ensuring data integrity and availability for recovery.  Geographically Redundant Backup Storage: Backup data is stored across different locations within the UAE, ensuring its durability and availability, even in the event of localized failures.  3. Business Continuity Planning (BCP) Cluster BCP Cluster in UAE: Fuze has implemented a dedicated Business Continuity Planning (BCP) cluster, ensuring that operations can quickly switch over to this backup system if the primary infrastructure becomes unavailable.  Real-Time Monitoring: Fuze uses real-time monitoring tools to ensure any disruptions are immediately detected, allowing for quick recovery actions and minimizing downtime.  4. Compliance with Local Regulations Fuze's business continuity processes adhere to local regulations and compliance standards, ensuring that it meets the UAE Central Bank's regulatory requirements for operational resilience.  In summary, Fuze’s platform is designed with multiple layers of redundancy, robust disaster recovery procedures, and a comprehensive Business Continuity Plan to ensure continuous service availability and operational security.",,,,,,,,,,,,,,,,,,,,,,
