SL NO,Parameters,Fuze,,Vendor2,,Vendor3,,Vendor4,,,,,,,,,,,,,,,,,
15.0,"Does the solution Support Low code No code? If yes, kindly detail the limitations from tech view",Yes,"Fuze enables the creation of dashboards on top of its data through No Code/Low Code integrations. We have utilized Appsmith to develop the complete internal dashboard infrastructure. In addition to FuzeOS, which serves as the primary back-office solution, Fuze will provide an integration and maintenance engineer to assist in building and customizing these dashboards as needed.",,,,,,,,,,,,,,,,,,,,,,
16.0,Does the solution support out-of-the-box workflows or can be integrated to Mashreq workflow system?,No,"Fuze does not offer out-of-the-box workflows. However, FuzeOS serves as a comprehensive back-office solution, providing a unified platform for finance, customer support, and reporting. Should there be a need for custom workflows, Fuze’s experienced development team is available to build and integrate tailored workflows to meet Mashreq’s specific requirements.",,,,,,,,,,,,,,,,,,,,,,
17.0,Does the solution provide SFTP approach?,Yes,"Yes, Fuze provides an SFTP approach for secure file transfers.",,,,,,,,,,,,,,,,,,,,,,
B,"Tech, Components and Integration",,,,,,,,,,,,,,,,,,,,,,,,
1.0,Is the solution or platform extensible with customization? Minimal custom dev.?,Yes,"Fuze was designed with flexibility, scalability, and security at its core. The platform’s API infrastructure follows a 'plug & play' approach, facilitating seamless integrations. BrokerX is built with a modular architecture, allowing banks to define their strategy for launching various products. It supports integration via REST APIs, WebSockets, and white-labeled web applications, ensuring quick implementation. Moreover, Fuze leverages an event-based architecture, making it easy to spin up new microservices to consume events and deliver additional features with minimal custom development.",,,,,,,,,,,,,,,,,,,,,,
2.0,Is the platform offers all out-of-box capabilities as a flexible & modular service ? ,Yes," Yes, the Fuze platform offers its capabilities as a flexible and modular service, although the extent of ""out-of-box"" flexibility for all features can be discussed.",,,,,,,,,,,,,,,,,,,,,,
3.0,Are all or core functions are exposed as service or API from the platform?,Yes,"Yes, all core functions of the platform are exposed as services or APIs. Fuze is built with a service-oriented architecture, where key functionalities such as trading, customer management, compliance checks, and reporting are accessible via REST APIs. This allows for seamless integration with external systems and enables businesses to leverage the platform’s capabilities while maintaining flexibility in their operations. The modular approach ensures that each core function can be accessed independently as needed, providing a highly scalable and customizable solution. ",,,,,,,,,,,,,,,,,,,,,,
4.0,"Is the solution flexible supporting approved software stacks at Mashreq (Database, Cache, Middleware, Workflow System, etc?)",Yes,"Fuze is capable of supporting a wide range of software stacks. However, to provide a definitive answer, we would need to understand the specific details of Mashreq's approved software stack, including the database, cache, middleware, workflow system, and other relevant technologies.",,,,,,,,,,,,,,,,,,,,,,
5.0,Is the solution design demonstrate integration with IAM/ Access management solutions?,Yes,"Yes, the solution is designed to integrate with Identity and Access Management (IAM) and access control solutions. Fuze supports seamless integration with various IAM systems, enabling centralized user authentication, authorization, and role-based access control (RBAC). This ensures that access to platform resources is securely managed, with fine-grained control over user roles and permissions, aligning with organizational security policies and compliance requirements.",,,,,,,,,,,,,,,,,,,,,,
6.0,Do you support outbound & inbound APIs for an easy integration? Is the external or 3rd party integrations are through API's? ,Yes,"Yes, Fuze supports both outbound and inbound APIs, facilitating easy integration with external systems. External and third-party integrations are primarily handled through APIs, allowing seamless data exchange and interoperability with various platforms and services. This API-first approach ensures that Fuze can integrate efficiently with other systems, enabling smooth workflows and enhancing the platform’s overall flexibility.",,,,,,,,,,,,,,,,,,,,,,
7.0,Does it also support batch data processing?,Yes,"Yes, Fuze supports batch data processing. The platform is designed to handle large volumes of data efficiently, allowing for scheduled batch processing of data at specified intervals. This ensures that bulk data can be processed in a streamlined manner, minimizing the impact on real-time operations and maintaining overall system performance.",,,,,,,,,,,,,,,,,,,,,,
8.0,"Support Security standards. Data in transit and rest to be encrypted, https, TLS3.0 & above, oath, etc.",Yes,"Yes, Fuze supports robust security standards to ensure data protection both in transit and at rest. Key security features include:  Data Encryption: All data in transit is encrypted using HTTPS with TLS 1.2 (or above), ensuring secure communication between systems. Data at rest is encrypted using industry-standard encryption protocols (e.g., AES-256).  Authentication & Authorization: Fuze integrates strong authentication mechanisms such as OAuth for secure access control, ensuring that only authorized users can access sensitive data and resources.  Compliance with Security Standards: The platform adheres to best practices and industry standards for security, ensuring that data is protected from unauthorized access, integrity breaches, and other security threats.  These features ensure that Fuze meets the highest security standards and compliance requirements for data protection.",,,,,,,,,,,,,,,,,,,,,,
9.0,"Do you support standard integration best-practices like throttling, circuit-breaking. Please explain.",Yes,"Yes, Fuze employs a multi-layered security approach to protect against DDoS attacks. The first layer of defense is provided by Cloudflare DDoS protection. In addition, Fuze utilizes AWS ALB (Application Load Balancer) with multiple rulesets to filter out spam and bot behaviors. Finally, the application incorporates advanced throttling, rate limiting, and circuit breakers to manage incoming requests effectively. The platform is built for scalability, leveraging a horizontally scalable Pub/Sub event-based architecture, which can dynamically scale out to handle increased traffic and request loads.",,,,,,,,,,,,,,,,,,,,,,
10.0,"Digital Channels support & simplified UI's for functions (onboarding Agency, input forms, Push notifications)",Yes,"Fuze supports digital channels with simplified UIs for key functions such as onboarding agencies, input forms, and push notifications. The platform offers seamless API integration, ensuring smooth connectivity with external systems, while delivering a best-in-class UI/UX designed to enhance user experience across various use cases.",,,,,,,,,,,,,,,,,,,,,,
11.0,Do the solution support smart alerts & notifications for the business required function?,Yes,"Fuze can provide smart alerts and notifications through our FuzeOS platform, ensuring that business-critical functions are monitored and timely notifications are sent based on predefined triggers and requirements.",,,,,,,,,,,,,,,,,,,,,,
12.0,Do the solution logs can be configured to Splunk?,Yes,"Fuze features a flexible event-based system with adapters that can push logs to any designated store, including Splunk, as long as there is an accessible HTTP endpoint for data transmission.",,,,,,,,,,,,,,,,,,,,,,
13.0,Does the solution support easy monitoring with AppDynamics and EgMonitoring?,Yes,"Fuze does not use AppDynamics or EgMonitoring; instead, we utilize the TIG Stack (Telegraf, Influx, Grafana) for monitoring, along with PagerDuty for incident management. For front-end monitoring, we use Sentry, and for backend monitoring and distributed tracing, we rely on Signoz with OpenTelemetry.",,,,,,,,,,,,,,,,,,,,,,
14.0,Are there OOB MIS reporting? Does the solution share data with Elastic Search?,Yes,"The Fuze platform offers FuzeOS, which provides out-of-the-box MIS reporting. Additionally, Fuze integrates OpenSearch (AWS’s version of Elasticsearch), though it is used solely for internal purposes.",,,,,,,,,,,,,,,,,,,,,,
15.0,Is the Backup & Archival of data is configurable?,Yes,"Yes, Fuze’s platform provides configurable automated backup, archival, and purge mechanisms for both application and customer data. These features ensure data integrity, compliance with regulatory requirements, and efficient management of storage resources. Below are the key details:  Automated Backup Fuze offers configurable automated backup processes to ensure data is regularly backed up and can be restored in the event of a failure or data loss. Key features include:  Frequent Backups: Daily incremental backups of critical data, such as customer information, transaction records, and compliance logs, to optimize storage and efficiency.  Point-in-Time Recovery (PITR): Allows restoration of data to a specific point in time, minimizing data loss.  Geographically Redundant Storage: Backups are stored in geographically redundant locations for high availability during regional outages or disasters.  Encryption: All backup data is encrypted using AES-256 encryption to prevent unauthorized access.  Data Archival Fuze provides configurable data archival processes to manage historical data storage:  Archival Policies: Customizable policies for archival based on regulatory requirements and business needs.  Compliance: Archival processes align with regulations such as GDPR, UAE PDPL, and AML/CFT, ensuring data is retained for the required period.  Efficient Storage: Archived data is stored in cost-effective solutions, like cold storage, to reduce costs while ensuring availability.  Search and Retrieval: Archived data can be accessed via Fuze’s proprietary dashboard (FuzeOS) or APIs.  Data Purge Fuze’s platform includes customizable data purge processes to securely delete data when no longer required:  Purge Policies: Custom purge policies based on regulatory requirements and business needs.  Secure Deletion: Data is deleted using industry-standard data sanitization methods, ensuring it cannot be recovered.  Compliance: Purge processes comply with regulations like GDPR’s right to erasure and UAE PDPL.  Audit Logging: All purge activities are logged for comprehensive auditing and troubleshooting.  Data Management Dashboard (FuzeOS) FuzeOS offers a centralized interface for managing backup, archival, and purge processes:  Policy Management: The bank can define and manage backup, archival, and purge policies.  Monitoring and Reporting: Real-time monitoring and reporting of activities through FuzeOS.  Compliance Reporting: FuzeOS generates reports to demonstrate compliance during audits.",,,,,,,,,,,,,,,,,,,,,,
16.0,Is every transaction is auditable?,Yes,"Yes, every transaction is auditable on the Fuze platform. The system logs all transaction data and activities, ensuring full traceability for compliance and auditing purposes. ",,,,,,,,,,,,,,,,,,,,,,
17.0,Does the solution offers connectors/accelerator(s) as out-of-box?,,"Fuze offers a set of out-of-the-box connectors and adapters that enable seamless integration with HTTP, webhook, REST, and gRPC endpoints. Based on specific requirements, these adapters can be extended to support additional platforms.",,,,,,,,,,,,,,,,,,,,,,
18.0,Please share your Mobile and Desktop platform user experince screens for review,Yes,Attahced,,,,,,,,,,,,,,,,,,,,,,
19.0,Does the application support any SDK or connectors for development activities?,Yes,"Yes, Fuze provides SDKs and connectors to facilitate development activities. These tools enable seamless integration with external systems and platforms, allowing developers to build custom functionalities or extend the platform's capabilities according to specific business needs. ",,,,,,,,,,,,,,,,,,,,,,
20.0,"Does the solution use AI components? If yes, please provide the details.",Yes,"Fuze has recently launched an AI Lab initiative, with plans to pilot AI-driven news and alert features within the app. In addition, Fuze has developed a comprehensive roadmap and several use cases aimed at implementing agentic AI within the blockchain ecosystem, all while ensuring robust guardrails for security and compliance.",,,,,,,,,,,,,,,,,,,,,,
21.0,"Does the solution integrates or provide integration capabilities to external  LLM/Open AI or any AI system? If yes, please provide the details.",Yes,Fuze will leverage OpenAI APIs for their AI-based initiatives.,,,,,,,,,,,,,,,,,,,,,,
22.0,Is the solution regulatory compliant?,Yes,"Yes, Fuze is fully compliant and authorized to offer B2B2C services to Banks/Financial Institutions/Fintechs.  Fuze Finance stands out as a regulatory leader in the UAE’s fintech landscape, having achieved several key milestones: Secured a full VARA Broker-Dealer license, enabling comprehensive Broker-Dealer and Incidental Custody services. Secured Central Bank of UAE for Retail Payment Services and Card Schemes (RPSCS - Category 3). Additionally, Fuze is the only Virtual Asset Service Provider (VASP) in the UAE with alignment and a No Objection Certificate (NOC) from SCA.  This unique position allows regulated entities to offer crypto services without needing to obtain their own license, further solidifying Fuze’s role as a trusted enabler in the digital asset ecosystem.",,,,,,,,,,,,,,,,,,,,,,
C,Non Functionals,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Do you support CI/CD pipelines for deployment? Needs Azure DevOps Compatibility.,Yes,"Yes, Fuze uses CI/CD pipelines for deployment. This pipeline includes automated security checks with static and dynamic code analysis, and vulnerability scanning. The deployment process involves using ECS with Docker containers, automating software installation. Fuze's CI/CD pipeline is self-hosted on its own Runners to ensure data security and can be made Azure compatible.",,,,,,,,,,,,,,,,,,,,,,
2.0,Do you support upgrading/patching of a specific module without incurring downtime for the other modules?,Yes,"Yes, Fuze's architecture supports upgrading or patching specific modules without incurring downtime for other module. Fuze employs a micro-service architecture managed with AWS ECS. This design allows for the independent scaling and deployment of individual services. Furthermore, Fuze utilises rolling deployments with a CI/CD pipeline for its daily release schedule. This methodology ensures that updates and patches can be applied incrementally, minimising any potential disruption to the overall system",,,,,,,,,,,,,,,,,,,,,,
3.0,Do you support automated testing for UI components?,Yes,"Yes, Fuze supports automated testing as part of its development and deployment processes",,,,,,,,,,,,,,,,,,,,,,
4.0,Do you support automated testing for API components?,Yes,"Yes, Fuze supports automated testing as part of its development and deployment processes",,,,,,,,,,,,,,,,,,,,,,
5.0,Do you support security testing via Veracode?,Yes,"Yes, Fuze supports automated security testing using Snyk, SAST, semgrep, GitHub Advanced Security. Veracode can be supported if required.",,,,,,,,,,,,,,,,,,,,,,
6.0,Do you conduct independent security evaluation of the platform through third-party vendors? Eg:- PEN testing,Yes,"Fuze has engaged a qualified and independent third-party auditor to conduct vulnerability assessments and penetration testing at least annually.  These assessments and tests are also conducted before introducing new systems, applications, or products",,,,,,,,,,,,,,,,,,,,,,
7.0,"Is the solution support cloudy ready deployment model? Eg:- AKS Cluster, Containerization",Yes,Fuze is deployed to Amazon ECS through docker containerization through an automated CI/CD pipeline.,,,,,,,,,,,,,,,,,,,,,,
8.0,"Ability to Publish & Manage Device enablement, Control users, Etc.",Yes,Fuze OS provides all functionality to activate/freeze users depending on the internal compliance requirements of the bank. Additionally Fuze uses best in class CI/CD systems to deploy our codebase. Fuze also has the ability to track user devices provided the same metadata is provided by the FrontEnd.,,,,,,,,,,,,,,,,,,,,,,
9.0,"Smart Data Sync with ADLS, Hadoop, external sources.",Yes,Fuze is built on an event based PubSub mechanism which allows adding adapters to any other external provider which can consume these events to provide Data Sync.,,,,,,,,,,,,,,,,,,,,,,
10.0,Ability to support scaled up transactions up to 30% higher with no performance issues.,Yes,Fuze is built to scale. We have an ECS cluster which supports horizontal scalability of all services which automatically provisions more resources to handle increased load. Fuze can easily support 50% more load without any performance issues.,,,,,,,,,,,,,,,,,,,,,,
11.0,Ease of implementing DoSA (Denial of Security Attack)?,Yes,"Fuze uses Cloudflare DDoS protection, and AWS WAF rulesets to implement Denial of Security Attacks apart from application level checks.",,,,,,,,,,,,,,,,,,,,,,
12.0,"Is the solution support High Availability, DR?",Yes,"Fuze is built with High Availablity in mind. Fuze uses an active/active failover mechanism with it's services spanning three different availability zones in UAE so that even if one AZ goes down, we automatically route requests to the next one. Each component has either an active/active failover or an active/passive failover mechanism including our databases.",,,,,,,,,,,,,,,,,,,,,,
13.0,Ability to manage the solution through VDI?,No,Fuze has a competent tech and support team which can assit with any kind of debugging. FuzeOS supports SSO and we provide IP whitelisting as well.,,,,,,,,,,,,,,,,,,,,,,
D,Delivery & Operations,,,,,,,,,,,,,,,,,,,,,,,,
